Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Bear Robotics,Full-Time,Intermediate,United States,120000,Medium,2023
Data Engineer,Full-Time,Expert,United States,139500,Medium,2023
Data Engineer,Full-Time,Expert,United States,118575,Medium,2023
Data Analyst,Full-Time,Expert,United States,129150,Medium,2023
Data Analyst,Full-Time,Expert,United States,98400,Medium,2023
Data Analyst,Full-Time,Expert,United States,192500,Medium,2023
Data Analyst,Full-Time,Expert,United States,140000,Medium,2023
Data Engineer,Full-Time,Intermediate,United Kingdom,67672,Medium,2023
Business Intelligence Developer,Full-Time,Expert,United States,98010,Medium,2023
Business Intelligence Developer,Full-Time,Expert,United States,66825,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,95000,Medium,2023
Data Scientist,Full-Time,Expert,United States,120000,Medium,2023
Data Scientist,Full-Time,Expert,United States,100000,Medium,2023
Data Science Manager,Full-Time,Expert,United States,190000,Medium,2023
Data Science Manager,Full-Time,Expert,United States,170000,Medium,2023
Research Engineer,Full-Time,Expert,United States,155000,Medium,2023
Research Engineer,Full-Time,Expert,United States,130000,Medium,2023
Machine Learning Engineer,Full-Time,Intermediate,United States,170000,Small,2023
Machine Learning Engineer,Full-Time,Intermediate,United States,120000,Small,2023
Data Analyst,Full-Time,Intermediate,United States,229000,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,131000,Medium,2023
Data Architect,Full-Time,Expert,United Kingdom,104584,Medium,2023
Data Architect,Full-Time,Expert,United Kingdom,92280,Medium,2023
Data Analyst,Full-Time,Expert,United States,192000,Medium,2023
Data Analyst,Full-Time,Expert,United States,164000,Medium,2023
Data Engineer,Full-Time,Expert,United States,181500,Medium,2023
Data Engineer,Full-Time,Expert,United States,112200,Medium,2023
Data Scientist,Full-Time,Expert,United States,223800,Medium,2023
Data Scientist,Full-Time,Expert,United States,172100,Medium,2023
Applied Scientist,Full-Time,Expert,United States,258800,Medium,2023
Applied Scientist,Full-Time,Expert,United States,199200,Medium,2023
Research Engineer,Full-Time,Expert,United States,185000,Medium,2023
Research Engineer,Full-Time,Expert,United States,148000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,193600,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,119700,Medium,2023
Data Scientist,Full-Time,Expert,United States,175750,Medium,2023
Data Scientist,Full-Time,Expert,United States,136742,Medium,2023
Research Engineer,Full-Time,Intermediate,United States,257400,Medium,2023
Research Engineer,Full-Time,Intermediate,United States,193500,Medium,2023
Data Scientist,Full-Time,Expert,United States,228856,Medium,2023
Data Scientist,Full-Time,Expert,United States,144540,Medium,2023
Data Architect,Full-Time,Expert,United States,170000,Medium,2023
Data Architect,Full-Time,Expert,United States,140000,Medium,2023
Data Scientist,Full-Time,Expert,United States,155000,Medium,2023
Data Scientist,Full-Time,Expert,United States,125000,Medium,2023
Data Engineer,Full-Time,Expert,United States,150600,Medium,2023
Data Engineer,Full-Time,Expert,United States,120500,Medium,2023
Data Scientist,Full-Time,Expert,United States,176000,Medium,2023
Data Scientist,Full-Time,Expert,United States,152000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,200000,Large,2023
Data Strategist,Full-Time,Intermediate,United States,115500,Medium,2023
Data Strategist,Full-Time,Intermediate,United States,73500,Medium,2023
Data Engineer,Full-Time,Director,United Kingdom,135344,Medium,2023
Data Engineer,Full-Time,Director,United Kingdom,98432,Medium,2023
Data Scientist,Full-Time,Expert,United States,225000,Medium,2023
Data Scientist,Full-Time,Expert,United States,172758,Medium,2023
Research Engineer,Full-Time,Intermediate,United Kingdom,86128,Medium,2023
Research Engineer,Full-Time,Intermediate,United Kingdom,67672,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,110000,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,85000,Medium,2023
Insight Analyst,Full-Time,Intermediate,United Kingdom,51676,Medium,2023
Insight Analyst,Full-Time,Intermediate,United Kingdom,43064,Medium,2023
Data Engineer,Full-Time,Expert,United States,245000,Medium,2023
Data Engineer,Full-Time,Expert,United States,194992,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,140000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,100000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,213800,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,180300,Medium,2023
Director of Data Science,Full-Time,Director,United States,375500,Medium,2023
